证券代码,证券简称,机构名称,证券类别,上市日期,上市地点,正常上市,摘牌日期,ISIN代码,英文名称,英文简称,成立日期,注册资本,法定代表人,主营业务,经营范围,公司简介,省份,城市,注册地址,办公地址,邮编,公司电话,公司传真,公司电子邮件地址,公司网站,证监会一级行业名称,证监会二级行业名称,申万行业一级名称,申万行业二级名称,申万行业三级名称,董事长,独立董事,总经理,董事会秘书,董秘电话,董秘传真,董秘邮箱,证券事务代表,会计师事务所,律师事务所
000833,粤桂股份,广西粤桂广业控股股份有限公司,A股,1998-11-11,深交所主板,正常上市,,CNE000000XC4,"Guangxi Yuegui Guangye Holdings Co., Ltd.",Yuegui,1993-08-18,66840.1851,刘富华,食糖、纸、酒精及轻质碳酸钙的制造、销售，硫铁矿的开采和硫酸的制造与销售。,食糖、纸、纸浆、食用酒精、轻质碳酸钙、酒糟干粉、有机－无机复混肥料、有机肥料、食品包装纸、食品添加剂氧化钙、减水剂的制造、销售；本企业自产产品的出口及本企业生产、科研所需原辅材料（国家规定一类进口商品除外），机械设备、仪器仪表、零部件的进口；机械的制造、零部件加工、修理，机械设备的安装、调试；港口经营（依法须经批准的项目，经相关部门批准后方可开展经营活动。）,公司系由广西贵港甘蔗化工厂于1993年3月31日进行股份制改组，始以发起人生产经营性净资产投入折为国家股10000万股，同时定向募集法人股5409.9万股，内部职工股1858.95万股，并于同年8月18日注册成立。经1998年8月14日发行公众股后，上市时总股本达25268.85万股，其内部职工股1858.95万股于公众股8000万股1998年11月11日在深交所上市交易期满三年后上市流通。,广西,贵港市,广西壮族自治区贵港市幸福路100号,广东省广州市荔湾区流花路85号建工大厦3层,510075,020-33970200,020-33970189,gxgtgf@163.com,www.yuegui.cn,综合,综合,采掘,其他采掘,其他采掘,刘富华,"李胜兰,龚洁敏,周永章",芦玉强,赵松,020-33970218,020-33970189,000833@yueguigufen.com,梅娟,中审众环会计师事务所(特殊普通合伙),广西桂云天律师事务所
000835,*ST长动,长城国际动漫游戏股份有限公司,A股,1999-06-25,深交所主板,*ST,,CNE000000WW4,"Great Wall International ACG Co., Ltd.",GWACG,1994-01-19,32676.0374,张振伟,动漫的设计、制作，动漫游戏的研发，动漫软件开发与动漫技术服务。,（以下范围不含前置许可项目，后置许可项目凭许可证或审批文件经营）软件和信息技术服务业；进出口业；商品批发与零售；技术推广服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,公司是以原北京隆源电子科技有限公司为主体，由大隆技术公司、中国仪器进出口总公司、香港资源集团公司等八家企业共同发起，于1994年1月19日成立的股份有限公司。成立时公司总股本为5223.625万股，其中大隆公司、仪器总公司、资源公司分别以经评估的原北京隆源电子科技有限公司的净资产折价入股4579万股，其它发起人以现金投入折价入股644.625万股。1995年至1997年7月21日期间，公司对股权结构进行相应的调整，调整后公司总股本为4050万股，经1998年6月8日发起公众股1350万股(其中配售内部职工135万股)后，公司总股本达5400万股。其公众股1215万股于1999年6月25日在深交所上市交易。,四川,成都市,四川省成都市高新区紫薇东路16号,浙江省杭州市西湖区文二西路683号西溪湿地创意产业园西区1-8号楼,310012,0571-28806888,0571-28806888,sdsy@sdsycorp.com,www.000835.com,信息传输、软件和信息技术服务业,互联网和相关服务,传媒,互联网传媒,移动互联网服务,,"徐柏其,唐治,李泉源",盛红彪,,0571-85025827,0571-85021376,ccdm_000835@163.com,,中天运会计师事务所(特殊普通合伙),广东明大律师事务所
000836,富通鑫茂,天津富通鑫茂科技股份有限公司,A股,1997-09-29,深交所主板,正常上市,,CNE000000T34,"Tianjin Futong Xinmao Science and Technology Co., Ltd.",Futong Xinmao,1997-09-16,120845.5224,徐东,投资、研发、制造、销售光纤光缆等光通信产品。,光纤预制棒、光纤、光缆研发、生产、销售；新材料技术研发、技术服务；石英材料、石英制品、光学薄膜、陶瓷、石墨制品研发、销售；计算机系统集成；计算机数据处理；仪器仪表、计算机软硬件、电子产品销售；安防工程设计、施工；自有房屋出租；物业服务；停车服务；货物及技术进出口（法律法规禁止经营的项目除外，法律法规限制经营的项目取得许可后方可经营）。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,公司系由天津大学等七家单位于1997年9月16日共同发起设立，始以发起人净资产及现金投入折为国有法人股6375.4552万股，经1997年8月28日发行后，上市时总股本达9375.4552万股，其内部职工股300万股将于公众股2700万股1997年9月29日在深证所上市交易期满半年后上市。,天津,天津市,天津市滨海高新区华苑产业区梅苑路6号海泰大厦十六层,天津市滨海高新区华苑产业区梅苑路6号海泰大厦十六层,300384,022-83710888、022-59007923,022-83710199,xinmao@xinmaokeji.com.cn,www.000836.net,制造业,电气机械和器材制造业,通信,通信设备,通信传输设备,徐东,"郑勇军,郑万青,于永生",傅欢平,杜翔,022-83710888,022-83710199,whan@xinmaokeji.com.cn,汤萍,中兴财光华会计师事务所(特殊普通合伙),
000837,*ST秦机,秦川机床工具集团股份公司,A股,1998-09-28,深交所主板,*ST,,CNE000000WX2,"Qinchuan Machine Tool and Tool Group Share Co., Ltd.",Qinchuan,1998-07-10,69337.091,严鉴铂,以高端机床及复杂刀具为主的高端装备制造。,通用及专用设备制造；黑色及有色金属加工；汽车零部件及配件制造；铁路、船舶、航空航天和其他运输设备的配件制造；金属制品；塑料制品；计算机、通信和其他电子设备制造；仪器仪表制造；软件和信息技术服务业；机械和设备修理；融资租赁、道路货物运输；投资与投资咨询；技术开发、技术转让、技术咨询与服务；货物、技术的进出口经营（国家禁止和限制的货物、技术除外）及代理业务。,公司系由秦川机床集团有限公司等七家单位于1998年7月10日共同发起设立，始以发起人的净资产及现金投入折为国有法人股5020万股，法人股557万股，经1998年6月8日发行公众股后，上市时总股本达11077万股，其内部职工股550万股于公众股4950万股1998年9月28日在深交所上市交易期满半年后上市流通。,陕西,宝鸡市,陕西省宝鸡市姜谭路22号,陕西省宝鸡市姜谭路22号,721009,0917-3670654,0917-3390960,qinchuan@qinchuan.com,www.qcde.cn,制造业,通用设备制造业,机械设备,通用机械,机床工具,严鉴铂,聂丽洁,李强,李静,0917-3670837,0917-3390960,lijing@qinchuan.com,马红萍,希格玛会计师事务所(特殊普通合伙),北京市嘉源律师事务所
000838,财信发展,财信地产发展集团股份有限公司,A股,1997-06-26,深交所主板,正常上市,,CNE0000007R1,"CASIN Real Estate Development Group Co., Ltd.",CASIN Development,1989-04-10,110046.217,鲜先念,房地产开发、销售。,房地产开发；销售自行开发的商品房；污染治理设施运营；工程和技术研究。,公司前身系四川省化工设备机械厂，1989年始进行股份制改组，以其净资产折为国家股1305万股，另募集法人股117万股和个人股1350万股，1992年因资产评估增值转增国家股1378.45万股，1993年1月增募法人股1650万股，经1993年11月进行股份制规范后，总股本为5009.22万股，其中国家股1892.22万股，法人股1767万股，其个人股1350万股将于1997年6月26日在深交所上市。,重庆,重庆市,重庆市江北区红黄路1号1幢24楼,广东省深圳市福田区福华路350号皇庭大厦51层,100025,010-59282532,0755-88374377,casin@casindev.com,www.casindev.com,房地产业,房地产业,房地产,房地产开发,房地产开发,鲜先念,"李杰利,田冠军,戴琼",王福顺,陆学佳,0755-88866836-8111,0755-88374377,luxuejia@casindev.com,宋晓祯,天健会计师事务所(特殊普通合伙),
000839,中信国安,中信国安信息产业股份有限公司,A股,1997-10-31,深交所主板,正常上市,,CNE000000TD0,"CITIC Guoan Information Industry Co., Ltd.",CITIC Guoan Info.,1997-10-14,391982.6352,罗宁,卫星通讯、网络工程、信息传输、有线电视、移动通讯等。,第二类基础电信业务中的国内甚小口径终端地球站通信业务（比照增值电信业务管理）；第一类增值电信业务中的互联网数据中心业务；第一类增值电信业务中的互联网接入服务业务；第二类增值电信业务中的国内呼叫中心业务；第二类增值电信业务中的信息服务业务（增值电信业务经营许可证有效期至2019年12月25日）；信息产业、广告行业项目的投资；卫星通讯工程、计算机信息传播网络工程、有线电视网络工程的施工、设备安装及技术服务；移动通讯的技术开发、技术服务、技术咨询；房地产开发与经营；物业管理；装饰装修；电子计算机、办公设备、五金交电、机械设备、电子设备的销售。,公司系由中信国安总公司于1997年10月14日独家发起设立，始以发起人部分净资产折为国家股15000万股，经1997年9月22日发行后，上市时总股本达2000万股，其内部职工股500万股将于公众股4500万股1997年10月31日在深证所上市交易期满半年后上市。,北京,北京市,北京市海淀区宝盛南路1号院11号楼三层101-01室,北京市朝阳区关东店北街1号国安大厦五层,100020,010-65008037,010-65061482,guoan@citicguoaninfo.com,www.citicguoaninfo.com,信息传输、软件和信息技术服务业,电信、广播电视和卫星传输服务,综合,综合,综合,罗宁,"刘京,卢侠巍,王洪亮,程源,曾会明",孙璐,司增辉,010-65008037,010-65061482,sizh@citicguoaninfo.com,权博,致同会计师事务所(特殊普通合伙),北京市信利律师事务所
000848,承德露露,河北承德露露股份有限公司,A股,1997-11-13,深交所主板,正常上市,,CNE000000TG3,He Bei Cheng De Lolo Company Limited,Lolo,1997-10-17,107641.9,梁启朝,杏仁露、果蔬汁、其它饮料、制罐、原辅材料加工。,饮料（蛋白饮料类）的开发、生产与销售；马口铁包装罐的生产和销售。,公司系由露露集团有限责任公司于1997年10月独家发起设立，始以发起人经营性净资产折为国家股8050万股，经1997年9月14日发行后，上市时总股本达11550万股；其内部职工股350万股将于公众股1150万股1997年11月13日在深证所上市交易期满半年后上市。,河北,承德市,河北省承德市高新技术产业开发区（西区8号）,河北省承德市高新技术产业开发区（西区8号）,067000,0314-2059888,0314-2059100,lws@lolo.com.cn,www.lolo.com.cn,制造业,酒、饮料和精制茶制造业,食品饮料,饮料制造,软饮料,梁启朝,"汪建明,董国云,黄剑锋",梁启朝,梁启朝(代),0314-2059888,0314-2059100,lolozq@lolo.com.cn,王金红,天职国际会计师事务所(特殊普通合伙),北京市金城律师事务所
000850,华茂股份,安徽华茂纺织股份有限公司,A股,1998-10-07,深交所主板,正常上市,,CNE000000X20,Anhui Huamao Textile Company Limited,Huamao Textile,1998-07-10,94366.5009,倪俊龙,纺织业务、投资业务。,棉、毛、麻、丝和人造纤维的纯、混纺纱线及其织物、针织品、服装、印染加工；纺织设备及配件、家用纺织品销售；投资管理。,公司系由安徽省安庆纺织厂于1998年7月10日独家发起设立，始以发起人部分生产经营性资产以及相关债项投入折为国有法人股12000万股，经1998年6月22日发行公众股后，上市时总股本达17000万股，其内部职工股500万股于公众股4500万股1998年10月7日在深交所上市交易期满半年后市流通。,安徽,安庆市,安徽省安庆市纺织南路80号,安徽省安庆市纺织南路80号,246018,0556-5919818,0556-5919900,aqfz@mail.hf.ah.cn,www.chinahuamao.net,制造业,纺织业,纺织服装,纺织制造,棉纺,倪俊龙,"黄文平,储育明,管亚梅,杨纪朝",左志鹏,罗朝晖,0556-5919818,0556-5919819,zzp9818@126.com,高柱生,容诚会计师事务所(特殊普通合伙),
000851,高鸿股份,大唐高鸿数据网络技术股份有限公司,A股,1998-06-09,深交所主板,正常上市,,CNE0000009Q9,"Gohigh Data Networks Technology Co., Ltd.",Gohigh,1994-01-20,90762.9867,付景林,面向企业客户的企业信息化业务；面向3C卖场、中小企业客户的IT销售业务以及面向个人消费者为主的信息服务业务。,法律、法规、国务院决定规定禁止的不得经营；法律、法规、国务院决定规定应当许可（审批）的，经审批机关批准后凭许可（审批）文件经营；法律、法规、国务院决定规定无需许可（审批）的，市场主体自主选择经营。（多业务宽带电信网络产品、通信器材、通信终端设备、仪器仪表、电子计算机软硬件及外部设备、系统集成的技术开发、转让、咨询、服务及制造、销售；通信及信息系统工程设计；信息服务；自营和代理各类商品和技术的进出口，但国家限定公司经营或者禁止进出口的商品和技术除外。）,公司系由中国第七砂轮厂等三家单位于1994年1月份共同发起设立，始以发起人净资产及现金投入折为国有法人股2527.8052万股，募集法人股2264.5万股，内部职工股1460万股，经1995年7月向法人股10送1股、同年9月增加国有法人股6068.46万股及1997年进行调整和1998年4月27日发行后，上市时总股本达17300万股，其内部职工股1460万股于公众股4500万股(其中证券投资基金配售的450万股，自公司股票上市之日起，持有时间不少于2个月1998年6月5日在深交所上市交易期满三年后上市。,贵州,贵阳市,贵州省贵阳市花溪区磊花路口,北京市海淀区学院路40号大唐电信集团主楼11层,100191,010-62301907,010-62301900,gohigh@gohigh.com.cn,www.gohigh.com.cn,批发和零售业,零售业,通信,通信设备,终端设备,付景林,"万岩,张天西,孙闯,李克强,梁文永",付景林,丁明锋,010-62301907,010-62301900,gohigh@gohigh.com.cn,孙迎辉、张锐、冯媛媛,中审亚太会计师事务所(特殊普通合伙),北京市海润律师事务所
000852,石化机械,中石化石油机械股份有限公司,A股,1998-11-26,深交所主板,正常上市,,CNE000000XK7,Sinopec Oilfield Equipment Corporation,SOFE,1998-09-28,77760.4997,谢永金,石油天然气及矿用钻头、石油机械配件等。,石油钻采、油气集输、海洋工程、安全工程、天然气应用、化工、环保、新材料、新能源开发等装备、装置、配件的研发、制造、销售、租赁和服务；钻头、钻具、管汇、阀门、井下工具、仪器仪表及相关软件的研发、制造、销售、租赁和服务；直缝埋弧焊钢管、螺旋埋弧焊钢管、直缝高频焊管、压力管道管件、压力容器的研发、制造、销售、防腐、涂敷和服务；天然气销售、燃气工程及燃气设施的施工及服务；非在产油气井的井口气、伴生气的回收与销售；气体压缩机械、燃气机械、工业机器人、热泵、3D打印设备的研发、制造、销售、租赁和服务；轨道交通、城市管廊等预埋槽道、支架系统的研发、生产、销售及相关服务；石油特种车辆的生产及销售；产品质量检测、检验技术研发及技术咨询，检测评估、质量监造及鉴定试验，材料及产品理化分析、无损检测；互联网和相关服务、仓储服务（不含危险化学品及易燃易爆物品）；设备修理；房屋出租；专用码头装卸；公路普通货运；货物及技术进出口、企业管理服务、技术服务、信息咨询服务、用户培训、劳务服务、住宿及餐饮服务。（上述经营范围中国家有专项规定的项目经审批后或凭许可证在核定的期限内经营）,公司于1997年11月始进行股份制改组，并于1998年9月28日正式注册成立，江汉石油管理局于1997年11月将所属钻头厂生产石油钻头的经营性资产投入折为国有法人股15000万股，经1998年9月10日发行公众股后，上市时总股本达20000万股，其内部职工股500万股于公众股4000万股1998年11月26日在深交所上市交易期满半年后上市流通。(公众股中向投资基金配售的500万股于本次上市两个月后上市)。,湖北,武汉市,湖北省武汉市东湖新技术开发区庙山小区华工园一路5号,湖北省武汉市东湖新技术开发区光谷大道77号光谷金融港A2座12层,430205,027-63496803,027-52306868,security.oset@sinopec.com,sofe.sinopec.com,制造业,专用设备制造业,机械设备,专用设备,冶金矿采化工设备,谢永金,"潘同文,黄振中,吴杰",王峻乔,周秀峰,027-63496803,027-52306868,security.oset@sinopec.com,周艳霞,立信会计师事务所(特殊普通合伙),
000856,冀东装备,唐山冀东装备工程股份有限公司,A股,1998-08-13,深交所主板,正常上市,,CNE000000WJ1,"Tangshan Jidong Equipment Engineering Co., Ltd.",Jidong Equipment,1998-06-16,22700.0,焦留军,机械设备与备件业务、土建安装业务、维修工程业务、电气设备与备件业务。,资本运营、运营管理；水泥机械设备及配件、普通机械设备及配件制造、销售；成套设备销售；普通货运；经营本企业自产产品和技术的进出口业务和本企业所需的原辅材料、机械设备及零配件及技术的进口业务；机电设备研发、设计、安装、维修及技术咨询；计算机及辅助设备的销售安装及计算机系统服务；工程项目技术咨询与工程建设项目管理；土建安装工程施工；电气设备销售；矿山工程施工；冶金机械设备制造；装卸搬运服务；货物及技术的进出口业务。（国家限定或禁止的项目除外）（以上涉及行政许可项目限分支经营）。,公司系由唐山市陶瓷集团有限公司于1998年6月独家发起设立，发起人以其部分生产经营性净资产折为国家股11000万股，经1998年5月18日发行公众股后，上市时总股本达16000万股，其内部职工股500万股于公众股4500万股1998年8月13日在深交所上市交易期满半年后上市。,河北,唐山市,河北省唐山市曹妃甸装备制造产业园区,河北省唐山市曹妃甸区通岛路金隅冀东科技大厦,063200,0315-8860671,0315-8860672,tsjdzbgc@126.com,www.jdzbgc.com,制造业,专用设备制造业,机械设备,专用设备,其它专用机械,焦留军,"罗熊,王玉敏,岳殿民",,刘福生,0315-8860671,0315-8860672,tsjdzbgc@126.com,,信永中和会计师事务所(特殊普通合伙),北京金诚律师事务所
000858,五 粮 液,宜宾五粮液股份有限公司,A股,1998-04-27,深交所主板,正常上市,,CNE000000VQ8,"Wuliangye Yibin Co., Ltd.",Wuliangye,1998-04-21,388160.8005,曾从钦,酒类及相关辅助产品（瓶盖、商标、标识及包装制品）的生产经营。,主营：酒类产品及相关辅助产品（瓶盖、商标、标识及包装制品）的生产经营；兼营：饮料、药品、水果种植、农业种植、进出口业务、物业管理、投资管理等。,公司系由四川省宜宾五粮液酒厂于1998年4月份独家发起设立，始以发起人净资产投入折为发起人股24000万股，经1998年3月27日在深交所上网定价发行后，上市时总股本达32000万股，其内部职工股800万股于公众股7200万股1998年4月27日在深交所上市交易期满半年后上市。,四川,宜宾市,四川省宜宾市翠屏区岷江西路150号,四川省宜宾市翠屏区岷江西路150号,644007,0831-3567000、0831-3566939、0831-3566858,0831-3555958,000858-wly@sohu.com,www.wuliangye.com.cn,制造业,酒、饮料和精制茶制造业,食品饮料,饮料制造,白酒,曾从钦,"傅南平,干胜道,周友苏",,彭智辅,17813219735,0831-3555958,000858-wly@sohu.com,肖祥发、李欣忆,四川华信(集团)会计师事务所(特殊普通合伙),北京市金杜律师事务所
000859,国风塑业,安徽国风塑业股份有限公司,A股,1998-11-19,深交所主板,正常上市,,CNE000000XF7,"Anhui Guofeng Plastic Industry Co., Ltd.",Guofeng Plastic Industry,1998-09-23,73944.973,黄琼宜,塑料建材、门窗、BOPP和PE塑料薄膜等。,包装膜材料、预涂膜材料、电容器用薄膜、聚酰亚胺薄膜、电子信息用膜材料，高分子功能膜材料，工程塑料、木塑新材料、塑料化工新材料、塑胶建材及附件、其他塑料制品生产、销售；相关原辅材料生产、销售；企业自产产品及相关技术出口业务（国家限定公司经营或禁止出口商品除外）；企业生产、科研所需的原辅材料、仪器仪表、机械设备、零配件及技术进口（国家限定公司经营或禁止进口的商品除外）。,公司系由安徽国风注塑总厂于1998年9月23日独家发起设立，发起人以其部分生产经营性净资产投入折为国家股12000万股，经1998年8月27日发行公众股后，上市时总股本达18000万股。其内部职工股600万股于公众股4800万股于1998年11月19日在深交所上市交易期满半年后上市流通。(公众股中向投资基金配售的600万股于本次上市两个月后上市)。,安徽,合肥市,安徽省合肥市高新区铭传路1000号,安徽省合肥市高新区长宁大道与铭传路交口,230088,0551-62753527,0551-62753500,ir@guofeng.com,www.guofeng.com,制造业,橡胶和塑料制品业,化工,塑料,其他塑料制品,黄琼宜,"余经林,许立新,李良彬,姚禄仕",朱亦斌,胡静,0551-68560860,0551-68560801,ir@guofeng.com,杨应林,天职国际会计师事务所(特殊普通合伙),安徽承义律师事务所
000860,顺鑫农业,北京顺鑫农业股份有限公司,A股,1998-11-04,深交所主板,正常上市,,CNE000000XH3,"Beijing Shunxin Agriculture Co., Ltd.",Shunxin Agriculture,1998-09-21,74176.6989,李颖林,白酒酿造与销售；种猪繁育、生猪养殖、屠宰及肉制品加工；房地产开发。,粮食作物、经济作物、蔬菜、花卉、园艺作物、水果加工；肉类、肉制品及副产品加工与销售；种畜产品、农作物种子、蔬菜种子繁育与销售；白酒、速冻食品、配制酒、蒸馏酒、发酵酒制造与销售；销售定型包装食品、食用油、酒、饮料：以下项目仅限分公司经营：水产品、豆制品、蛋品加工与销售；米面制品、方便面及其他方便食品、糕点、面包、调味品制造与销售；货物专项运输（冷藏保鲜）；普通货物运输；调味料（半固态）、罐头（其他罐头）。一般经营项目：粮食作物、经济作物、蔬菜、花卉、园艺作物、水果种植与销售；畜禽养殖；淡水养殖；技术开发、技术服务、信息咨询；物流综合业务；销售粮食、百货、机械电器设备、建筑材料、饲料、种苗、农药、（不含危险化学品）、化肥；货物进出口、技术进出口、代理进出口、国际货运代理。粮食收购。出租办公用房。仓储服务。,公司系由北京市泰丰现代农业发展中心于1998年9月21日独家发起设立，始以发起人主要生产经营性资产投入折为国有法人股21000万股，经1998年9月3日发起公众股后，公司上市时总股本为28000万股，其内部职工股700万股于公众股6300万股(其中向投资基金配售的700万股于本次上市两个月后上市)1998年11月4日在上交所上市交易期满半年后上市流通。,北京,北京市,北京市顺义区站前街1号院1号楼顺鑫国际商务中心12层,北京市顺义区站前街1号院1号楼顺鑫国际商务中心12层,101300,010-69420860,010-69443137,bjsxnygf000860@163.com,www.000860.com,制造业,酒、饮料和精制茶制造业,食品饮料,饮料制造,白酒,李颖林,"陈亦昕,鲁桂华,战飞扬",安元芝,安元芝,010-69420860,010-69443137,ayz001@sina.com,张骁勇,北京兴华会计师事务所(特殊普通合伙),北京市中银律师事务所
000861,海印股份,广东海印集团股份有限公司,A股,1998-10-28,深交所主板,正常上市,,CNE000000X46,"Guangdong Highsun Group Co., Ltd.",Highsun,1998-07-10,232544.5588,邵建明,商业业务、金融业务。,主营：销售日用百货；市场商品信息咨询服务，出租柜台，物业管理（持有效许可证书经营），项目投资，产品展销、展览策划，计算机软、硬件开发及技术服务；电信服务；停车场经营。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,公司系由原茂名市化工一厂独家发起，并定向募集法人股和职工股后，于1992年12月26日注册成立，成立时总股本为2100万股，经1995年、1996年均以每10股配售3股、1997年的送股和1998年6月25日发行公众股后，1998年7月10日重新注册，上市时总股本达5000万股，其中国家股1447.8043万股，法人股1381.5119万股，其内部职工股920.6838万股于公众股1250万股于1998年10月28日在深交所上市交易期满三年后上市流通。,广东,广州市,广东省广州市越秀区东华南路98号21-32层,广东省广州市越秀区东华南路98号海印中心,510199,020-22000861,020-28828899-8222,IR000861@126.com,www.000861.com,租赁和商务服务业,商务服务业,商业贸易,商业物业经营,一般物业经营,邵建明,"慕丽娜,李峻峰,朱为绎",邵建佳,吴珈乐,020-28828222,020-28828899-8222,IR000861@126.com,冯志彬,大信会计师事务所(特殊普通合伙),广东对外经济律师事务所
000862,银星能源,宁夏银星能源股份有限公司,A股,1998-09-15,深交所主板,正常上市,,CNE000000WZ7,"Ning Xia Yin Xing Energy Co., Ltd.",Yin Xing Energy,1998-06-28,70611.8997,高原,风力发电、太阳能发电及其相关产业的运营管理与建设、安装工程总承包。,风力发电、太阳能发电及其相关产业的建设与运营管理；电力工程施工总承包；风力发电、太阳能发电设备及其新能源产品附件的设计、制造、销售、安装、检修服务；机械加工；其他机电产品的设计、制造、销售、安装、服务、成套；进出口业务；管理咨询；物业管理；保洁服务；房屋、场地、机械设备、汽车的租赁。,公司系由吴忠仪表集团有限公司等三家单位于1998年6月28日共同发起设立，始以发起人净资产及现金折为国有法人股6660万股，经1998年6月15日发行公众股后，上市时总股本达12660万股，其中内部职工股600万股于公众股5400万股1998年9月15日在深交所上市交易期满半年后上市流通。,宁夏,银川市,宁夏回族自治区银川市西夏区六盘山西路166号,宁夏回族自治区银川市西夏区六盘山西路166号,750021,0951-8887899,0951-8887893,yxny000862@126.com,www.nxyxny.com.cn,电力、热力、燃气及水生产和供应业,电力、热力生产和供应业,公用事业,电力,新能源发电,高原,马自斌,雍锦宁,李正科,0951-8887882,0951-8887893,lzkmlt@126.com,杨建峰,普华永道中天会计师事务所(特殊普通合伙),宁夏麟祥律师事务所
000863,三湘印象,三湘印象股份有限公司,A股,1997-09-25,深交所主板,正常上市,,CNE000000T00,"Sanxiang Impression Co., Ltd.",Sanxiang Impression,1997-09-11,122520.816,许文智,文化业务、房地产业务。,投资兴办实业（具体项目另行申报），国内贸易（不含专营、专控、专卖商品），在合法取得使用权的土地上从事房地产开发经营，文艺创作与表演，创意设计，电影制片，电影发行，电影摄制，广播电视节目制作，经营演出及经纪业务，文化艺术交流活动策划，影视设备、物联网技术、网络技术、信息技术领域内的技术开发、技术咨询、技术服务、技术转让，广告设计、制作、代理、发布，资产管理，商务信息咨询。（以上各项不含限制项目）,公司系由沈阳中天电子发展股份有限公司等七家单位于1997年9月11日共同发起设立，始以发起人净资产折为发起人股3701.9258万股，经1997年8月26日发行后，上市时总股本达5001.9258万股，其内部职工股130万股将于公众股1170万股1997年9月25日在深证所上市交易期满半年后上市。,上海,上海市,上海市杨浦区逸仙路333号501室,上海市杨浦区逸仙路333号,200434,021-65364018,021-65363840,zhaoming0811@163.com,,房地产业,房地产业,房地产,房地产开发,房地产开发,许文智,"石磊,蒋昌建,周昌生",王盛,童莹莹,021-65364018,021-65363840,sxgf000863@sxgf.com,熊星,天职国际会计师事务所(特殊普通合伙),浩天律师事务所
000868,ST安凯,安徽安凯汽车股份有限公司,A股,1997-07-25,深交所主板,ST,,CNE000000SG5,"Anhui Ankai Automobile Co., Ltd.",Ankai,1997-07-22,73332.9168,戴茂方,客车、底盘生产与销售。,客车、底盘生产、销售；汽车配件销售、汽车设计、维修、咨询、试验；本企业自产产品及技术出口及本企业生产所需的原辅材料、仪器仪表、机械设备、零配件及技术进口。〈国家限定公司经营和禁止进出口商品及技术除外〉。房产、设备租赁。,公司前身系安徽省合肥淝河汽车制造厂，1997年7月始进行股份制改组，将原厂净资产折为国有法人股8000万股，经1997年7月在安徽省合肥市公开发行后，上市时总股本达14000万股，其内部职工股200万股将于公众股5800万股1997年7月25日在深证所上市交易期满半年后上市。,安徽,合肥市,安徽省合肥市葛淝路1号,安徽省合肥市葛淝路1号,230051,0551-62297712,0551-62297710,zqb@ankai.com,www.ankai.com,制造业,汽车制造业,汽车,汽车整车,商用载客车,戴茂方,"张圣亮,赵惠芳,盛明泉,李洪峰",查保应,刘勇,0551-62297712,0551-62297710,liuyong@ankai.com,盛夏、赵保军,容诚会计师事务所(特殊普通合伙),天合律师事务所
000869,张  裕Ａ,烟台张裕葡萄酿酒股份有限公司,A股,2000-10-26,深交所主板,正常上市,,CNE000001568,Yantai Changyu Pioneer Wine Company Limited,Changyu,1997-09-18,68546.4,周洪江,以葡萄、苹果等为主要原料的葡萄酒、白兰地、香槟酒、保健酒的生产和销售。,葡萄酒及果酒（原酒、加工灌装）生产；配制酒及其他配制酒（葡萄露酒）生产；其他酒（其他蒸馏酒）生产；包装材料、酿酒机械的生产、加工、销售；葡萄种植、收购；旅游资源开发（不含旅游业）；包装设计；房屋出租活动；备案范围进出口贸易；仓储业务；国家政策允许范围内的对外投资。,公司是由烟台张裕集团公司独家发起，以募集方式设立之股份公司.张裕集团公司将其下属的白兰地、葡萄酒、香槟酒、保健酒四个酒业公司及进出口、纸箱包装、机械包装、汽车运输、果品食杂五个辅助配套公司的净资产以及在烟台中法神马白兰地公司(与法国合资)的40%权益折价作为发起人股，向境外投资者发行境内上市外资股(B股)，设立公司。,山东,烟台市,山东省烟台市大马路56号,山东省烟台市大马路56号,264000,0535-6633656,0535-6633639,webmaster@changyu.com.cn,www.changyu.com.cn,制造业,酒、饮料和精制茶制造业,食品饮料,饮料制造,葡萄酒,周洪江,于仁竹,孙健,姜建勋,0535-6633656,0535-6633639,quwm@changyu.com.cn,李廷国,毕马威华振会计师事务所(特殊普通合伙),金茂律师事务所
